"PKCatPoblaciones;""nombrePoblacion"";""codigoPostal"";""fechaAlta"""
"1;""Acazulco"";""52753"";""2021-06-08"""
"2;""Agua Blanca"";""52710"";""2021-06-08"""
"3;""Cuernavaca"";""62000"";""2021-06-08"""
"4;""Ahuatenco"";""52493"";""2021-06-08"""
"5;""Atlapulco"";""52754"";""2021-06-08"""
"6;""Atlantlalpac"";""00000"";""2021-06-08"""
"7;""Civac Los Robles (Cuernavaca)"";""62578"";""2021-06-08"""
"8;""Coyoltepec"";""52487"";""2021-06-08"""
"9;""San Pedro Cholula"";""52757"";""2021-06-08"""
"10;""Capulhuac"";""52700"";""2021-06-08"""
"11;""Coamilpa"";""52653"";""2021-06-08"""
"12;""Gustavo Baz"";""52486"";""2021-06-08"""
"13;""El Mirasol"";""52654"";""2021-06-08"""
"14;""El Pedregal"";""52756"";""2021-06-08"""
"15;""El potrero"";""52743"";""2021-06-08"""
"16;""Fracc. Buen Suceso"";""52644"";""2021-06-08"""
"17;""Gualupita"";""52603"";""2021-06-08"""
"18;""La Marquesa"";""52743"";""2021-06-08"""
"19;""Lagunilla Chalma"";""52665"";""2021-06-08"""
"20;""Lagunilla Tlazala"";""52710"";""2021-06-08"""
"21;""La Esperanza"";""52485"";""2021-06-08"""
"22;""La PastorÃ­a"";""52494"";""2021-06-08"""
"23;""Morelos"";""62210"";""2021-06-08"""
"24;""Ocoyoacac"";""52755"";""2021-06-08"""
"25;""Santa Ana"";""52494"";""2021-06-08"""
"26;""San Lorenzo"";""52614"";""2021-06-08"""
"27;""San Juan Atzingo"";""52495"";""2021-06-08"""
"28;""San Bartolo"";""52665"";""2021-06-08"""
"29;""Santa Martha"";""52495"";""2021-06-08"""
"30;""Santa Lucia"";""52495"";""2021-06-08"""
"31;""Santiago Tianguistenco"";""52600"";""2021-06-08"""
"32;""San Pedro TlaltizapÃ¡n"";""52640"";""2021-06-08"""
"33;""Texcalyacac"";""52570"";""2021-06-08"""
"34;""San JosÃ© Mezapa"";""52613"";""2021-06-08"""
"35;""Santa MÃ³nica"";""52484"";""2021-06-08"""
"36;""San Lorenzo Huehuetitlan"";""52614"";""2021-06-08"""
"37;""Tlazala"";""52710"";""2021-06-08"""
"38;""Tilapa"";""52650"";""2021-06-08"""
"39;""Tlacuitlapa"";""52665"";""2021-06-08"""
"40;""Tlacomulco"";""52666"";""2021-06-08"""
"41;""Tepetzingo"";""52494"";""2021-06-08"""
"42;""Tultepec"";""52030"";""2021-06-08"""
"43;""Xalatlaco"";""52680"";""2021-06-08"""
"44;""Sauces Cuernavaca"";""62330"";""2021-06-08"""
"45;""Almoloya del RÃ­o"";""52540"";""2021-06-08"""
"46;""Almaya"";""52710"";""2021-06-08"""
"47;""Amate (Cuernavaca)"";""62100"";""2021-06-08"""
"48;""Santa Fe Mezapa"";""52685"";""2021-06-08"""
"49;""Tenango del Valle"";NULL;""2021-06-08"""
"50;""San NicolÃ¡s Coatepec"";NULL;""2021-06-08"""
"51;""Santa Cruz AtizapÃ¡n"";NULL;""2021-06-08"""
"52;""Lomas de Teocaltzingo"";NULL;""2021-06-08"""
"53;""Llano del Compromiso"";NULL;""2021-06-08"""
"54;""Paseos del Rio"";NULL;""2021-06-08"""
"55;""Arcos"";NULL;""2021-06-08"""
"56;""Sauces 2"";NULL;""2021-06-08"""
"57;""Calimaya"";NULL;""2021-06-08"""
"58;""La Florida"";NULL;""2021-06-08"""
